quarter,industry1,industry2,occupation1,job_vacancy
2012-Q2,services,"community, social and personal services",total,10800
2012-Q2,services,"community, social and personal services","professional, managers, executive and technicians",7200
2012-Q2,services,"community, social and personal services","clerical, sales and services workers",2800
2012-Q2,services,"community, social and personal services","production and transport operators, cleaners and labourers",800
2012-Q2,others,others,total,800
2012-Q2,others,others,"professional, managers, executive and technicians",500
2012-Q2,others,others,"clerical, sales and services workers",-
2012-Q2,others,others,"production and transport operators, cleaners and labourers",300
2012-Q3,total,total,total,56400
2012-Q3,total,total,"professional, managers, executive and technicians",22700
2012-Q3,total,total,"clerical, sales and services workers",17600
2012-Q3,total,total,"production and transport operators, cleaners and labourers",16100
2012-Q3,manufacturing,"food, beverages and tobacco",total,800
2012-Q3,manufacturing,"food, beverages and tobacco","professional, managers, executive and technicians",100
2012-Q3,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",200
2012-Q3,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",500
2012-Q3,manufacturing,"paper,rubber,plastic products and printing",total,400
2012-Q3,manufacturing,"paper,rubber,plastic products and printing","professional, managers, executive and technicians",100
2012-Q3,manufacturing,"paper,rubber,plastic products and printing","clerical, sales and services workers",-
2012-Q3,manufacturing,"paper,rubber,plastic products and printing","production and transport operators, cleaners and labourers",300
2012-Q3,manufacturing,"petroleum, chemical and pharmaceutical products",total,400
2012-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians",200
2012-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",-
2012-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",100
2012-Q3,manufacturing,"fabricated metal products, machinery and equipment",total,2100
2012-Q3,manufacturing,"fabricated metal products, machinery and equipment","professional, managers, executive and technicians",600
2012-Q3,manufacturing,"fabricated metal products, machinery and equipment","clerical, sales and services workers",100
2012-Q3,manufacturing,"fabricated metal products, machinery and equipment","production and transport operators, cleaners and labourers",1400
2012-Q3,manufacturing,"electronic, computer and optical products",total,1300
2012-Q3,manufacturing,"electronic, computer and optical products","professional, managers, executive and technicians",800
2012-Q3,manufacturing,"electronic, computer and optical products","clerical, sales and services workers",-
2012-Q3,manufacturing,"electronic, computer and optical products","production and transport operators, cleaners and labourers",500
2012-Q3,manufacturing,transport equipment,total,1200
2012-Q3,manufacturing,transport equipment,"professional, managers, executive and technicians",300
2012-Q3,manufacturing,transport equipment,"clerical, sales and services workers",100
2012-Q3,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",800
2012-Q3,manufacturing,other manufacturing industries,total,800
2012-Q3,manufacturing,other manufacturing industries,"professional, managers, executive and technicians",200
2012-Q3,manufacturing,other manufacturing industries,"clerical, sales and services workers",100
2012-Q3,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",500
2012-Q3,construction,construction,total,4100
2012-Q3,construction,construction,"professional, managers, executive and technicians",1000
2012-Q3,construction,construction,"clerical, sales and services workers",200
2012-Q3,construction,construction,"production and transport operators, cleaners and labourers",3000
2012-Q3,services,wholesale and retail trade,total,7000
2012-Q3,services,wholesale and retail trade,"professional, managers, executive and technicians",2000
2012-Q3,services,wholesale and retail trade,"clerical, sales and services workers",4200
2012-Q3,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",800
2012-Q3,services,transportation and storage,total,3500
2012-Q3,services,transportation and storage,"professional, managers, executive and technicians",700
2012-Q3,services,transportation and storage,"clerical, sales and services workers",900
2012-Q3,services,transportation and storage,"production and transport operators, cleaners and labourers",1900
2012-Q3,services,accommodation and food services,total,6800
2012-Q3,services,accommodation and food services,"professional, managers, executive and technicians",300
