quarter,industry1,industry2,industry3,occupation1,resignation_rate
2012-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products","professional, managers, executive and technicians",1.2
2012-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products","clerical, sales and services workers",1.9
2012-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products","production and transport operators, cleaners and labourers",2.1
2012-Q3,manufacturing,transport equipment,transport equipment,total,1.3
2012-Q3,manufacturing,transport equipment,transport equipment,"professional, managers, executive and technicians",1
2012-Q3,manufacturing,transport equipment,transport equipment,"clerical, sales and services workers",1.8
2012-Q3,manufacturing,transport equipment,transport equipment,"production and transport operators, cleaners and labourers",1.4
2012-Q3,manufacturing,other manufacturing industries,other manufacturing industries,total,1.7
2012-Q3,manufacturing,other manufacturing industries,other manufacturing industries,"professional, managers, executive and technicians",1.5
2012-Q3,manufacturing,other manufacturing industries,other manufacturing industries,"clerical, sales and services workers",2.1
2012-Q3,manufacturing,other manufacturing industries,other manufacturing industries,"production and transport operators, cleaners and labourers",1.7
2012-Q3,construction,construction,construction,total,1.8
2012-Q3,construction,construction,construction,"professional, managers, executive and technicians",2.1
2012-Q3,construction,construction,construction,"clerical, sales and services workers",2.4
2012-Q3,construction,construction,construction,"production and transport operators, cleaners and labourers",1.6
2012-Q3,services,wholesale and retail trade,wholesale trade,total,1.9
2012-Q3,services,wholesale and retail trade,wholesale trade,"professional, managers, executive and technicians",1.3
2012-Q3,services,wholesale and retail trade,wholesale trade,"clerical, sales and services workers",2.6
2012-Q3,services,wholesale and retail trade,wholesale trade,"production and transport operators, cleaners and labourers",2.3
2012-Q3,services,wholesale and retail trade,retail trade,total,4.5
2012-Q3,services,wholesale and retail trade,retail trade,"professional, managers, executive and technicians",1.9
2012-Q3,services,wholesale and retail trade,retail trade,"clerical, sales and services workers",5.3
2012-Q3,services,wholesale and retail trade,retail trade,"production and transport operators, cleaners and labourers",3.6
2012-Q3,services,transportation and storage,land transport and supporting services,total,1.7
2012-Q3,services,transportation and storage,land transport and supporting services,"professional, managers, executive and technicians",1.3
